6.009927730690924008e+00 0.000000000000000000e+00 3.977848344837172423e+00 -1.203517555125781513e-01 7.749107275419687468e+00 -1.047580896904847236e-01 5.086193891496417052e+01 3.354018400662150512e+00 8.753979521219207527e+00 3.515675012124379606e-01
5.998746628420818183e+00 0.000000000000000000e+00 3.971530159493129819e+00 -1.198038679216359981e-01 7.734746937739739536e+00 -1.063168038705288865e-01 5.071253930794022580e+01 3.343373927077973207e+00 8.735932618648606152e+00 3.489694775540677085e-01
5.987580300428654745e+00 0.000000000000000000e+00 3.965217845591344936e+00 -1.206273716689985065e-01 7.720405336489198689e+00 -1.078738909756786768e-01 5.056354342410190128e+01 3.332751405712523152e+00 8.717914541498894110e+00 3.463746994750618313e-01
5.976428728265414492e+00 0.000000000000000000e+00 3.958911398204491672e+00 -1.200797181196335828e-01 7.706082448873056379e+00 -1.094293524896947645e-01 5.041495016254037154e+01 3.322150792039289868e+00 8.699925245277823294e+00 3.437831632489523059e-01
5.965291893505229481e+00 0.000000000000000000e+00 3.952610812409323771e+00 -1.195329188574749679e-01 7.691778252123955717e+00 -1.109831898950073281e-01 5.026675842547117412e+01 3.311572041626723362e+00 8.681964685563409390e+00 3.411948651536835797e-01
5.954169777745740966e+00 0.000000000000000000e+00 3.946316083286695253e+00 -1.189869729029702228e-01 7.677492723502565397e+00 -1.125354046726663171e-01 5.011896711822384276e+01 3.301015110137951680e+00 8.664032818003784442e+00 3.386098014716054649e-01
5.943062362607725468e+00 0.000000000000000000e+00 3.940027205921627473e+00 -1.198079956509481292e-01 7.663225840297286595e+00 -1.140859983023680968e-01 4.997157514923421928e+01 3.290479953330677887e+00 8.646129598317060072e+00 3.360279684894447172e-01
5.931969629735332816e+00 0.000000000000000000e+00 3.933744175403152799e+00 -1.192622827509008943e-01 7.648977579824299156e+00 -1.156349722624536724e-01 4.982458143003340467e+01 3.279966527056830117e+00 8.628254982291382547e+00 3.334493624983512206e-01
5.920891560795871200e+00 0.000000000000000000e+00 3.927466986824451389e+00 -1.187174215920716591e-01 7.634747919427494978e+00 -1.171823280299175707e-01 4.967798487523965179e+01 3.269474787262430127e+00 8.610408925784591716e+00 3.308739797938393679e-01
5.909828137479777865e+00 0.000000000000000000e+00 3.921195635282807235e+00 -1.181734111977821300e-01 7.620536836478569498e+00 -1.187280670803811944e-01 4.953178440254888670e+01 3.259004689987367698e+00 8.592591384724261871e+00 3.283018166758076006e-01
